#(index 0)
# X Y
  0.000000 3794.000000
  1.000000 6450.000000
  2.000000 6450.000000
  3.000000 6450.000000
  4.000000 6450.000000
  6.000000 6071.000000
  9.000000 6071.000000
  13.000000 6450.000000
  19.000000 6450.000000
  28.000000 7209.000000
  42.000000 6451.000000
  63.000000 7588.000000
  94.000000 6830.000000


#(index 1)
# X Y
  0.000000 4173.000000
  1.000000 10244.000000
  2.000000 12521.000000
  3.000000 15556.000000
  4.000000 17833.000000
  6.000000 23525.000000
  9.000000 31871.000000
  13.000000 42875.000000
  19.000000 64882.000000
  28.000000 84991.000000
  42.000000 127108.000000
  63.000000 184401.000000
  94.000000 266357.000000


